,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,128.28,-3.27,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-28.06,92.29
Fremantle,Round 1,128.28,2.61,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,25.51,161.0
St Kilda,Round 2,128.28,6.48,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,-29.73,90.14
Melbourne,Round 4,128.28,-5.42,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,9.92,141.0
Adelaide Crows,Round 5,128.28,0.05,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-2.11,125.57
Hawthorn,Round 6,128.28,3.09,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,21.27,155.57
Carlton,Round 7,128.28,-11.42,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-17.37,106.0
Collingwood,Round 8,128.28,-3.47,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,1.23,129.86
GWS GIANTS,Round 9,128.28,-9.24,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,22.5,157.14
Port Adelaide,Round 10,128.28,-7.14,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-3.39,123.93
Western Bulldogs,Round 11,128.28,4.38,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,18.72,152.29
West Coast Eagles,Round 12,128.28,8.25,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,17.32,150.5
Gold Coast SUNS,Round 13,128.28,2.06,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-6.23,120.29
Essendon,Round 14,128.28,-1.1,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,6.8,137.0
Brisbane Lions,Round 15,128.28,-3.27,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-28.06,92.29
Richmond,Round 17,128.28,8.89,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,11.14,142.57
GWS GIANTS,Round 18,128.28,-9.24,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,22.5,157.14
St Kilda,Round 19,128.28,6.48,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,-29.73,90.14
North Melbourne,Round 20,128.28,-1.89,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-21.82,100.29
Port Adelaide,Round 21,128.28,-7.14,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-3.39,123.93
Essendon,Round 22,128.28,-1.1,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,6.8,137.0
Sydney Swans,Round 23,128.28,-2.11,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-11.91,113.0
Richmond,Round 24,128.28,8.89,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,11.14,142.57
