,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.85,112.7,-8.66,94.86
Sydney Swans,Round 2,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.28,102.55,-11.41,92.0
West Coast Eagles,Round 3,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.7,112.53,1.45,105.36
Western Bulldogs,Round 4,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.9,101.93,-14.98,88.29
Richmond,Round 5,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.66,116.25,15.55,120.0
Melbourne,Round 6,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.83,109.13,3.65,107.64
Adelaide Crows,Round 7,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.32,105.25,-7.56,96.0
St Kilda,Round 8,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.05,98.87,5.44,109.5
Collingwood,Round 9,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.98,105.96,5.51,109.57
GWS GIANTS,Round 10,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,0.68,103.15,11.35,115.64
Port Adelaide,Round 11,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.25,96.84,-7.69,95.86
Gold Coast SUNS,Round 12,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.56,101.27,8.26,112.43
North Melbourne,Round 14,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.02,102.81,21.33,126.0
Essendon,Round 15,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.85,101.97,9.46,113.67
St Kilda,Round 16,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.05,98.87,5.44,109.5
Sydney Swans,Round 17,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.28,102.55,-11.41,92.0
Hawthorn,Round 18,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.88,97.17,5.64,109.71
Collingwood,Round 19,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.98,105.96,5.51,109.57
West Coast Eagles,Round 20,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.7,112.53,1.45,105.36
Carlton,Round 21,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.62,101.21,-6.28,97.33
Port Adelaide,Round 22,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.25,96.84,-7.69,95.86
Brisbane Lions,Round 23,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.19,98.74,13.08,117.43
Western Bulldogs,Round 24,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.9,101.93,-14.98,88.29
