team.name,opponent,venue.name,PF_AVG,PF,PF_diff,Opp_PAPG,PA_diff,Venue_AVG,PPV_diff
Western Bulldogs,Melbourne,MCG,1587.7,1431.0,-9.87,1562.04,-8.39,1540.73,-7.12
Western Bulldogs,Gold Coast SUNS,Mars Stadium,1587.7,1663.0,4.74,1531.39,8.59,1504.0,10.57
Western Bulldogs,West Coast Eagles,Marvel Stadium,1587.7,1844.0,16.14,1611.65,14.42,1544.71,19.38
Western Bulldogs,Geelong Cats,Adelaide Oval,1587.7,1619.0,1.97,1585.17,2.13,1511.26,7.13
Western Bulldogs,Essendon,Marvel Stadium,1587.7,1426.0,-10.18,1494.26,-4.57,1544.71,-7.68
Western Bulldogs,St Kilda,Marvel Stadium,1587.7,1970.0,24.08,1560.61,26.23,1544.71,27.53
Western Bulldogs,Fremantle,Optus Stadium,1587.7,1544.0,-2.75,1503.78,2.67,1505.23,2.58
Western Bulldogs,Hawthorn,Marvel Stadium,1587.7,1459.0,-8.11,1516.96,-3.82,1544.71,-5.55
Western Bulldogs,Richmond,MCG,1587.7,1875.0,18.1,1652.3,13.48,1540.73,21.7
Western Bulldogs,GWS GIANTS,ENGIE Stadium,1587.7,1354.0,-14.72,1448.04,-6.49,1499.12,-9.68
Western Bulldogs,Sydney Swans,Marvel Stadium,1587.7,1563.0,-1.56,1486.57,5.14,1544.71,1.18
Western Bulldogs,Collingwood,Marvel Stadium,1587.7,1576.0,-0.74,1549.78,1.69,1544.71,2.03
Western Bulldogs,Brisbane Lions,Marvel Stadium,1587.7,1383.0,-12.89,1464.22,-5.55,1544.71,-10.47
Western Bulldogs,Fremantle,Marvel Stadium,1587.7,1711.0,7.77,1503.78,13.78,1544.71,10.77
Western Bulldogs,North Melbourne,Marvel Stadium,1587.7,1616.0,1.78,1545.13,4.59,1544.71,4.62
Western Bulldogs,Port Adelaide,Adelaide Oval,1587.7,1382.0,-12.96,1431.43,-3.45,1511.26,-8.55
Western Bulldogs,Carlton,Marvel Stadium,1587.7,1469.0,-7.48,1500.87,-2.12,1544.71,-4.9
Western Bulldogs,Geelong Cats,GMHBA Stadium,1587.7,1737.0,9.4,1585.17,9.58,1545.83,12.37
Western Bulldogs,Sydney Swans,SCG,1587.7,1543.0,-2.82,1486.57,3.8,1504.32,2.57
Western Bulldogs,Melbourne,Marvel Stadium,1587.7,1583.0,-0.3,1562.04,1.34,1544.71,2.48
Western Bulldogs,Adelaide Crows,Adelaide Oval,1587.7,1452.0,-8.55,1507.87,-3.71,1511.26,-3.92
Western Bulldogs,North Melbourne,Marvel Stadium,1587.7,1826.0,15.01,1545.13,18.18,1544.71,18.21
Western Bulldogs,GWS GIANTS,Mars Stadium,1587.7,1491.0,-6.09,1448.04,2.97,1504.0,-0.86
