team.name,FP+,FP+ Trend,M+,UM+,KR+,UP+,K+,D+,T+,bounces+,i50+,CM+,DE%+,R50+,MTR+,KE%+,ML+,IM+,SL+,KIN+,KIPO+
Adelaide Crows,-6.69,0.02,-15.73,-17.2,-2.42,-8.16,-7.14,-5.93,10.9,-41.64,1.4,-4.73,0.06,2.21,1.28,-1.14,,-15.27,-5.86,-6.07,-11.1
Brisbane Lions,-6.25,1.1,-0.59,1.15,12.59,-9.49,2.44,-9.38,-16.08,-41.22,16.16,-21.84,-1.54,-19.57,-3.53,0.31,-0.1,-4.23,16.7,-1.18,-7.85
Carlton,8.43,0.8,11.19,8.28,5.09,1.41,10.26,4.51,17.49,63.75,-6.89,27.65,0.55,10.68,6.43,0.44,-7.6,28.34,18.64,19.56,11.03
Collingwood,-0.32,-1.25,-11.6,-11.56,-3.92,-0.15,-3.37,0.62,16.87,-15.19,11.64,-11.66,-1.61,3.92,6.85,-1.49,-3.43,-4.05,11.61,-23.61,-20.06
Essendon,13.92,1.33,14.4,16.04,-2.42,21.02,14.27,16.99,-10.86,76.35,3.06,-8.43,3.21,6.48,7.85,2.09,14.05,0.04,13.3,17.54,24.39
Fremantle,3.96,-0.86,6.41,5.83,-3.92,10.68,0.17,4.93,3.69,-1.75,11.79,8.22,2.74,-3.27,-2.29,1.37,,-11.17,-12.9,-23.44,-23.31
GWS GIANTS,14.48,1.8,10.84,15.46,-6.92,21.4,11.56,19.54,7.79,24.7,3.06,-26.93,1.35,20.65,13.43,2.88,-10.09,-25.06,-3.92,46.54,49.19
Geelong Cats,-2.43,1.53,-0.11,-3.05,0.58,-13.4,-7.47,-7.51,11.89,-21.06,-9.45,23.95,-1.65,-7.26,-7.54,-1.56,-5.1,21.4,10.63,-19.73,-20.06
Gold Coast SUNS,-8.96,1.09,-7.22,-9.64,2.09,-15.35,-8.55,-10.5,-8.37,-10.15,-3.42,10.07,-4.46,-1.7,-3.15,-4.51,15.71,11.97,-3.44,-9.11,-10.14
Hawthorn,2.81,0.96,-2.06,-2.04,-5.42,5.71,-2.6,3.58,6.55,23.86,8.48,3.13,-0.87,-10.6,-0.64,-2.7,9.89,-4.59,1.9,-15.18,-13.58
Melbourne,-6.1,-0.07,-9.16,-9.54,-2.42,-5.4,-6.63,-4.14,-4.89,-46.26,-3.72,-1.03,-1.94,-10.96,-8.83,-2.88,-16.75,4.67,-0.28,-38.45,-33.99
North Melbourne,-6.71,-0.73,-5.41,-5.66,0.58,-7.37,-6.72,-7.41,-1.66,-15.61,-27.23,8.22,2.25,3.78,-10.84,1.82,0.73,-15.27,-28.18,29.85,33.93
Port Adelaide,-7.23,-0.76,-3.76,-7.09,6.59,-16.57,-5.31,-11.45,6.05,-37.86,5.01,26.26,0.5,2.35,-0.98,2.68,4.06,21.76,5.54,-6.91,-4.42
Richmond,-3.71,-0.2,-1.52,-5.92,-0.92,-5.06,-3.04,-2.45,-10.11,20.5,-13.67,27.65,1.15,10.97,1.76,3.09,12.38,31.55,3.84,8.77,1.49
St Kilda,8.37,0.52,23.99,23.91,0.58,10.07,7.95,6.31,-6.63,-3.01,-19.7,8.22,2.37,-1.99,-3.54,3.8,-0.94,16.59,-5.62,-14.84,-15.68
Sydney Swans,-6.38,-1.2,-9.7,-6.83,-0.92,-4.63,-6.33,-5.19,-5.64,0.77,-10.05,-11.2,-0.38,-3.98,-8.92,-0.26,-7.6,-15.63,-3.92,-11.3,-8.24
West Coast Eagles,2.19,-2.18,4.91,9.29,0.58,5.52,3.78,1.62,2.94,-3.43,8.33,-26.46,-1.6,1.71,2.32,-1.89,6.56,-22.75,-25.03,20.57,18.47
Western Bulldogs,0.62,0.05,-4.88,-1.45,0.58,9.78,6.74,5.87,-19.93,27.22,25.2,-31.09,-0.12,-3.41,10.34,-2.06,-11.76,-18.3,7.0,26.98,29.92
