team.name,FP+,FP+ Trend,M+,UM+,KR+,UP+,CP+,G+,K+,H+,D+,T+,i50+,Mi50+,CLR+,DE%+,R50+,GA+,Ti50+,MTR+,GBG+,SL+,extendedStats.centreBounceAttendances+
Adelaide Crows,6.09,-1.17,-3.09,-3.94,-2.17,5.38,0.86,2.53,0.44,7.68,3.99,26.27,-7.0,10.41,-6.31,1.57,8.82,-13.46,16.3,-4.65,1.54,-3.4,-4.26
Brisbane Lions,2.69,1.12,25.19,23.29,1.74,-3.57,4.91,9.58,2.07,-1.52,0.31,-8.57,-7.34,0.48,4.78,2.7,-11.91,-2.82,14.05,-7.27,8.75,18.64,-1.74
Carlton,5.93,-0.3,-11.8,-12.1,-11.96,7.88,15.08,-1.27,-2.08,23.31,10.39,11.93,8.53,-13.16,18.39,2.12,-22.06,1.05,-2.63,-3.52,11.13,4.57,12.75
Collingwood,-4.49,-0.1,-9.55,-8.27,-0.22,-2.59,-8.11,-8.86,-4.16,-3.18,-3.67,-1.4,-0.89,6.06,-5.45,-3.23,-14.5,13.62,-5.79,0.16,-9.29,-7.85,1.03
Essendon,5.07,0.42,16.95,17.69,-0.22,13.99,-8.68,-11.57,3.73,3.5,3.62,-0.82,9.64,3.58,-8.19,3.17,-3.06,10.72,-1.28,5.41,-12.25,-2.93,1.31
Fremantle,6.76,-0.14,-7.3,-5.81,-8.04,13.89,7.09,-8.32,3.11,19.88,11.38,4.03,2.42,-2.0,15.94,2.47,-2.41,-3.79,3.23,0.32,4.59,5.04,5.19
GWS GIANTS,0.97,-0.13,-7.96,-5.62,-4.13,13.16,-3.34,2.53,2.97,10.65,6.74,-6.76,-1.31,-13.78,-8.11,2.29,22.85,1.05,-19.31,6.92,0.97,-12.54,-2.13
Geelong Cats,-10.44,-0.77,-2.15,-7.19,9.57,-21.1,-11.76,-20.25,-6.75,-24.12,-15.29,-4.88,-9.71,5.44,-15.31,-4.2,2.55,-15.39,4.58,-5.13,-10.34,5.28,-9.58
Gold Coast SUNS,4.43,-0.27,-5.62,-2.86,9.57,-1.97,14.25,-6.15,12.84,-3.61,4.75,2.87,13.71,-21.23,25.66,-1.56,22.85,-2.34,-3.53,18.4,9.8,4.57,12.37
Hawthorn,-12.87,-0.09,-0.09,-2.67,-4.13,-9.22,-13.15,9.58,-14.39,-10.15,-12.31,-20.45,-10.48,8.55,-22.44,3.89,-5.43,8.78,0.08,-8.9,-15.54,-15.36,-26.9
Melbourne,1.04,-1.82,-6.37,-5.71,-0.22,-4.39,12.49,-0.18,1.54,3.62,2.57,0.85,16.34,9.17,1.39,-7.9,-13.21,13.13,29.38,8.35,15.23,1.99,-1.7
North Melbourne,-8.63,-0.47,-3.18,-3.55,1.74,-6.57,-5.73,-3.44,-4.64,-8.99,-6.79,-15.67,-4.37,-5.72,-4.58,3.01,4.93,-4.75,-22.01,-5.46,-7.48,-16.06,-2.19
Port Adelaide,4.04,0.02,14.89,16.31,1.74,4.03,0.3,1.99,5.42,0.54,3.02,-3.72,10.23,4.2,2.33,0.8,-13.64,-4.27,2.33,3.54,2.02,17.23,2.5
Richmond,-5.81,-0.15,-3.75,-1.88,-0.22,-1.99,-3.71,7.41,-1.52,-3.55,-2.52,-18.86,-8.78,19.71,-5.95,-3.61,5.79,-10.07,-17.05,-1.89,-3.33,-15.36,3.2
St Kilda,-0.66,-1.01,9.08,11.1,-0.22,-1.24,-8.21,-22.97,-5.15,-3.99,-4.57,11.21,-16.33,-10.06,-14.31,0.39,-0.68,-19.74,-4.88,-13.45,-8.96,-12.08,-4.46
Sydney Swans,3.69,-0.21,5.9,3.63,9.57,-5.34,-3.57,33.45,4.63,-14.42,-4.73,14.97,3.7,17.23,-5.95,-1.16,7.09,2.5,3.23,3.77,-2.95,10.9,0.53
West Coast Eagles,-11.38,-0.69,-15.36,-15.15,-0.22,-12.37,-7.32,-13.2,-9.61,-10.55,-10.07,-5.39,-14.38,-24.33,-1.2,-2.03,4.71,-1.37,-22.92,-6.52,-3.18,-16.06,4.33
Western Bulldogs,13.57,0.18,4.21,2.74,-2.17,12.04,18.59,29.11,11.54,14.89,13.19,14.39,16.0,5.44,29.33,1.29,7.3,27.16,26.22,9.92,19.29,33.41,9.74
