team.name,FP+,FP+ Trend,M+,UM+,KR+,UP+,K+,H+,i50+,Mi50+,R50+,bounces+,MTR+,KE%+,ML+,SL+
Adelaide Crows,9.04,1.96,0.55,1.04,-0.0,6.86,12.74,12.55,13.98,-3.95,4.89,14.24,13.76,0.33,-16.85,15.07
Brisbane Lions,7.6,0.57,9.39,9.29,8.47,2.4,15.35,-10.21,19.44,4.53,-1.04,-22.76,14.81,-4.18,2.89,11.6
Carlton,-11.42,0.21,-12.0,-13.75,1.69,-13.49,-13.31,-16.59,-18.37,-9.6,0.79,-28.6,-17.75,-4.81,-4.89,-1.3
Collingwood,-4.66,-0.49,2.83,-0.36,6.78,-13.21,-5.36,-20.37,-11.79,26.65,-13.81,29.17,-11.71,-3.49,6.48,-15.18
Essendon,1.67,-0.19,5.4,3.06,-6.78,4.88,-0.49,16.16,-0.69,-15.25,-3.78,7.75,0.95,4.43,-18.05,1.18
Fremantle,-11.03,-2.11,-4.44,-7.37,-5.08,-14.17,-21.02,-8.36,-14.8,16.77,-18.82,22.03,-17.8,3.47,10.67,-14.69
GWS GIANTS,8.76,-2.21,-9.15,-6.43,-6.78,8.33,0.34,21.04,9.47,1.23,-20.65,-22.76,2.63,2.11,-10.87,5.65
Geelong Cats,1.77,0.78,-6.87,-6.9,1.69,4.49,5.32,-0.55,8.15,-7.25,15.83,42.16,6.72,-3.85,-12.66,12.1
Gold Coast SUNS,-2.46,-1.57,18.8,20.97,6.78,-0.66,3.78,-14.33,7.21,2.64,20.4,-19.51,8.15,4.13,11.27,-15.18
Hawthorn,2.54,0.15,6.54,6.02,-5.08,5.0,-0.49,13.73,-5.02,20.53,24.5,-13.67,0.36,5.87,18.44,2.67
Melbourne,4.71,-0.1,-11.01,-4.88,-0.0,5.45,5.32,5.41,9.28,-8.19,1.24,-11.07,5.42,-2.97,-6.08,-1.3
North Melbourne,-8.82,0.29,-8.01,-5.35,-1.69,4.55,-3.7,-0.21,-14.42,-33.61,36.36,-10.42,-3.12,4.66,7.08,-21.14
Port Adelaide,-2.04,0.33,-6.3,-7.68,1.69,-6.76,0.22,-8.11,8.15,21.0,-29.31,-13.67,-2.73,-5.15,-14.46,4.66
Richmond,-12.12,-2.33,-17.0,-17.02,5.08,-12.81,-8.45,-19.95,1.94,-8.19,-34.79,15.54,-0.33,-4.17,-1.89,-12.21
St Kilda,0.99,-1.22,11.81,7.27,-0.0,-2.07,-0.02,-0.05,-9.91,13.0,1.24,-0.04,-0.43,-3.8,7.08,-5.26
Sydney Swans,10.59,0.03,12.67,9.44,-0.0,4.32,10.66,8.02,10.03,-6.3,1.7,-13.67,5.88,5.08,0.5,10.61
West Coast Eagles,-6.29,-0.42,6.96,11.94,-0.0,-3.48,-10.23,-11.13,-15.17,-11.95,-13.81,-10.42,-12.46,-1.46,25.02,-4.27
Western Bulldogs,11.16,-1.68,-0.17,0.73,-6.78,20.38,9.36,32.96,2.51,-2.07,29.06,35.67,7.65,3.79,-3.69,26.98
